SuiRate,Unemp,Vet,Arrest,Mental,Disable,uxa,uxm,uxd,uxv,vxa,vxm,vxd,axm,axd,mxd,UnempOG,Unemp2,Unemp3,Unemp4,Unemp5,Unemp6,Unemp7,Unemp8,Unemp9,Unemp10,Unemp11,Unemp12,Unemp13,Unemp15
15.2,0.398409536,10.1,4364,3.75,13.4,1738.659217,1.494035762,5.338687788,4.023936318,44076.4,37.875,135.34,16365,58477.6,50.25,6.3,0.799340549,39.69,2.50998008,0.158730159,1.840549633,250.047,1.84691475,0.025195263,-2.655351829,0.376597929,0.141826,0.613675753,-0.399670275
15.3,0.487950036,9,3400,3.9,13.6,1659.030124,1.903005142,6.636120496,4.391550328,30600,35.1,122.4,13260,46240,53.04,4.2,0.62324929,17.64,2.049390153,0.238095238,1.435084525,74.088,1.613428646,0.056689342,-2.070389328,0.483000944,0.233289912,0.694982693,-0.311624645
11.7,0.329690237,9.8,3741.4,4.35,12,1233.503052,1.43415253,3.95628284,3.23096432,36665.72,42.63,117.6,16275.09,44896.8,52.2,9.2,0.963787827,84.64,3.033150178,0.108695652,2.219203484,778.688,2.095379106,0.011814745,-3.201633861,0.312340525,0.097556603,0.558874337,-0.481893914
12,0.349215148,9.5,3594,3.97,12.4,1255.079241,1.386384137,4.330267834,3.317543905,34143,37.715,117.8,14268.18,44565.6,49.228,8.2,0.913813852,67.24,2.863564213,0.12195122,2.104134154,551.368,2.016529675,0.0148721,-3.03562391,0.329421572,0.108518572,0.573952587,-0.456906926
12.8,0.375293313,9.3,3507,4.17,12.4,1316.153647,1.564973113,4.653637075,3.490227806,32615.1,38.781,115.32,14624.19,43486.8,51.708,7.1,0.851258349,50.41,2.664582519,0.14084507,1.960094784,357.911,1.921997343,0.019837334,-2.827819025,0.353629419,0.125053766,0.594667486,-0.425629174
12.9,0.40824829,9,2976,3.99,12.2,1214.946912,1.628910679,4.980629144,3.674234614,26784,35.91,109.8,11874.24,36307.2,48.678,6,0.77815125,36,2.449489743,0.166666667,1.791759469,216,1.817120593,0.027777778,-2.584962501,0.386852807,0.149655094,0.621974925,-0.389075625
13.6,0.430331483,8.8,2928.53,4.17,12.9,1260.238658,1.794482284,5.55127613,3.78691705,25771.064,36.696,113.52,12211.9701,37778.037,53.793,5.4,0.73239376,29.16,2.323790008,0.185185185,1.686398954,157.464,1.754410643,0.034293553,-2.432959407,0.411022065,0.168939138,0.641110026,-0.36619688
13.9,0.461265604,8.4,2811,4.33,12.2,1296.617613,1.997280065,5.627440369,3.874631074,23612.4,36.372,102.48,12171.63,34294.2,52.826,4.7,0.672097858,22.09,2.167948339,0.212765957,1.547562509,103.823,1.675068684,0.045269353,-2.232660757,0.44789608,0.200610898,0.669250386,-0.336048929
13.1,0.386333705,11.3,2829,3.15,10.6,1092.93805,1.21695117,4.095137269,4.365570862,31967.7,35.595,119.78,8911.35,29987.4,33.39,6.7,0.826074803,44.89,2.588435821,0.149253731,1.902107526,300.763,1.885203631,0.022276676,-2.744161096,0.364410093,0.132794716,0.603663891,-0.413037401
13.6,0.40824829,11,5563.11,3.49,10.9,2271.130147,1.424786534,4.449906366,4.490731195,61194.21,38.39,119.9,19415.2539,60637.899,38.041,6,0.77815125,36,2.449489743,0.166666667,1.791759469,216,1.817120593,0.027777778,-2.584962501,0.386852807,0.149655094,0.621974925,-0.389075625
14.4,0.476731295,10.7,5834,3.66,11.7,2781.250373,1.744836538,5.577756147,5.101024852,62423.8,39.162,125.19,21352.44,68257.8,42.822,4.4,0.643452676,19.36,2.097617696,0.227272727,1.481604541,85.184,1.638642541,0.051652893,-2.137503524,0.467835486,0.218870042,0.683985004,-0.321726338
14,0.527046277,10.4,3230,3.59,10.8,1702.359474,1.892096133,5.692099788,5.481281278,33592,37.336,112.32,11595.7,34884,38.772,3.6,0.556302501,12.96,1.897366596,0.277777778,1.280933845,46.656,1.532618865,0.077160494,-1.847996907,0.541126447,0.292817832,0.735612974,-0.27815125
12.2,0.58722022,10.1,2961.1,3.18,11.3,1738.817792,1.867360298,6.635588481,5.930924217,29907.11,32.118,114.13,9416.298,33460.43,35.934,2.9,0.462397998,8.41,1.702938637,0.344827586,1.064710737,24.389,1.426043147,0.118906064,-1.5360529,0.651019245,0.423826058,0.806857636,-0.231198999
15.9,0.645497224,9.9,2495,3.89,10.8,1610.515575,2.510984203,6.971370023,6.390422521,24700.5,38.511,106.92,9705.55,26946,42.012,2.4,0.380211242,5.76,1.549193338,0.416666667,0.875468737,13.824,1.3388659,0.173611111,-1.263034406,0.791744069,0.626858671,0.889800016,-0.190105621
